Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
123,Artificial Intelligence,AI Ethics: Building Responsible Systems,Understand the ethical dimensions of AI and how to build AI systems that are fair transparent and accountable,You will be able to audit an AI system for bias explain its decisions and document its limitations responsibly,"Bias in training data, model fairness metrics, explainability with SHAP and LIME, privacy in AI, AI policy in Nigeria",Audit a Nigerian loan approval AI system for demographic bias and write a fairness report,4 hours,Foundation
124,Artificial Intelligence,Machine Learning Operations: Managing AI in Production,Learn MLOps the practices that keep AI systems accurate reliable and up to date after deployment,You will be able to set up monitoring retraining pipelines and model registry for any production ML system,"Model drift, monitoring with Evidently, automated retraining, MLflow experiment tracking, data pipelines",Build an automated pipeline that monitors a deployed model for drift and retrains it weekly,6 hours,Advanced
125,Artificial Intelligence,Building AI for Nigerian Languages: The Opportunity,Learn how to build NLP systems that work for Yoruba Hausa Igbo Tiv and other underrepresented languages,You will be able to fine-tune language models for Nigerian languages and build translation and text tools,"Low-resource NLP challenges, Meta NLLB model, fine-tuning with small datasets, evaluation for low-resource languages",Fine-tune a translation model to translate from English to Yoruba and evaluate its quality,7 hours,Advanced
126,Artificial Intelligence,Computer Vision for Agriculture: Detecting Crop Disease,Learn how to apply AI to real agricultural challenges that affect millions of Nigerian farmers,You will be able to build an image classification system that identifies crop diseases from phone photos,"Transfer learning, MobileNet for mobile deployment, agricultural datasets, confidence thresholds",Build a cassava disease detection app that runs on an Android phone without internet,7 hours,Advanced
127,Artificial Intelligence,Fraud Detection With AI: Protecting Financial Systems,Learn how AI detects fraudulent transactions in real time in banking and payment systems,You will be able to build and evaluate a fraud detection system that handles imbalanced data effectively,"Imbalanced datasets, SMOTE, anomaly detection, isolation forest, ensemble methods, real-time scoring",Build a real-time fraud scoring system that flags suspicious transactions in a payment stream,7 hours,Advanced
128,Artificial Intelligence,Building an AI Tutor: Educational AI That Adapts,Learn how to build an AI-powered tutoring system that adapts to each student's learning pace,You will be able to build a personalised tutoring system that asks questions evaluates answers and adjusts difficulty,"Adaptive learning algorithms, LLM for question generation, answer evaluation, learning paths, Bloom's taxonomy",Build an AI tutor for secondary school mathematics that adapts question difficulty based on performance,8 hours,Advanced
129,Artificial Intelligence,AI-Powered Document Search: Finding Answers in Any File,Learn Retrieval Augmented Generation the technique that lets AI answer questions from your own documents,You will be able to build a system where users upload documents and ask natural language questions about them,"RAG architecture, text chunking, vector embeddings, vector databases Pinecone and ChromaDB, LLM integration",Build a document Q&A system for a company manual where employees ask questions and get accurate answers,7 hours,Advanced
130,Artificial Intelligence,Whisper + Diarisation: Who Said What When,Learn to combine transcription with speaker identification to produce fully attributed conversation transcripts,You will be able to process any multi-speaker recording and produce a transcript showing who said each sentence,"Whisper transcription, PyAnnote speaker diarisation, alignment of transcript with speakers, output formats",Process a 30-minute meeting recording and produce a full attributed transcript with timestamps,6 hours,Advanced
131,Artificial Intelligence,Transfer Learning: Teaching AI New Tricks Faster,Learn transfer learning the technique that lets you build powerful AI systems without massive datasets,You will be able to fine-tune a pretrained model for any image classification or text task using your own small dataset,"What pretrained models are, feature extraction vs fine-tuning, Hugging Face model hub, training loop",Fine-tune a pretrained image model to identify Nigerian currency denominations from photos,5 hours,Intermediate
132,Artificial Intelligence,Data Labelling: The Hidden Foundation of All AI,Learn how to create high-quality labelled training datasets the foundation of every AI system,You will be able to design a labelling workflow build a labelled dataset and assess its quality and consistency,"What data labelling is, labelling tools, label taxonomy design, inter-annotator agreement, quality control",Create a 1000-sample labelled dataset of Nigerian street food images for a classification task,4 hours,Beginner
133,Artificial Intelligence,AI-Powered Analytics: Turning Data Into Decisions,Learn how to use AI to analyse business data and surface insights that humans would miss,You will be able to build an analytics pipeline that automatically detects trends anomalies and forecasts,"Descriptive vs predictive analytics, automated EDA, anomaly detection, forecasting, natural language generation",Build an AI analytics dashboard for a school that automatically narrates key trends in student performance,7 hours,Intermediate
134,Artificial Intelligence,Reinforcement Learning: AI That Learns by Doing,Understand reinforcement learning the AI paradigm behind AlphaGo self-driving cars and game-playing AI,You will be able to implement a simple reinforcement learning agent that learns to solve a task through trial and error,"Agent and environment, reward function, Q-learning, policy gradient, OpenAI Gymnasium",Train a reinforcement learning agent to play a simple navigation game from scratch,6 hours,Advanced
135,Artificial Intelligence,Generative AI for Business: Practical Applications,Learn how to use generative AI tools to increase productivity in real business operations,You will be able to use AI tools to automate content creation data analysis email writing and document processing,"ChatGPT for business, Copilot, AI for code, AI for presentations, AI for Excel, prompt workflows",Automate 5 real business tasks using generative AI tools and document the time saved for each,3 hours,Beginner
136,Artificial Intelligence,Building AI-Powered WhatsApp Bots,Learn how to connect an AI language model to WhatsApp Business API to build an intelligent assistant,You will be able to build a WhatsApp bot that understands free-form questions and gives accurate answers,"WhatsApp Business API, webhook handling, conversation state, LLM integration, fallback handling",Build a WhatsApp bot for a Nigerian university that answers student questions about admission,8 hours,Intermediate
137,Artificial Intelligence,Computer Vision in Security: Intrusion and Motion Detection,Learn how to build AI-powered security systems that detect intruders movement and anomalies,You will be able to build a motion detection and person detection system from camera footage,"Background subtraction, motion detection with OpenCV, YOLO for person detection, alerts and logging",Build a basic security monitoring system that sends WhatsApp alerts when a person is detected,6 hours,Intermediate
138,Artificial Intelligence,AI Model Evaluation: Knowing If Your AI Is Actually Good,Learn how to rigorously evaluate any AI model so you know it works before deploying it,You will be able to apply the correct evaluation metrics for any AI task and interpret results confidently,"Accuracy precision recall F1 AUC, regression metrics, cross-validation, confusion matrices, A/B testing",Evaluate 3 different models for the same task and write a comparison report recommending the best one,4 hours,Intermediate
139,Artificial Intelligence,Feature Engineering: Turning Raw Data Into AI Gold,Learn how to transform raw data into meaningful features that make AI models dramatically more accurate,You will be able to engineer features for tabular data text and time series that improve model performance,"One-hot encoding, normalisation, binning, date features, text features, interaction features, feature importance",Double the accuracy of a baseline model by engineering better features from the same dataset,5 hours,Intermediate
140,Artificial Intelligence,AutoML: Building AI Without Writing Model Code,Learn AutoML tools that automatically find the best machine learning model and parameters for your data,You will be able to use AutoML tools to build high-performance models without manually tuning algorithms,"H2O AutoML, AutoKeras, Google AutoML, what AutoML does internally, when to use vs manual ML",Use an AutoML tool to build a model that outperforms a manually built baseline on a real dataset,3 hours,Beginner
141,Artificial Intelligence,AI for Healthcare: Diagnosing With Data,Learn how AI is applied in medical diagnosis drug discovery and patient outcome prediction,You will be able to build a disease prediction model from patient data and explain its predictions transparently,"Healthcare AI ethics, clinical data, HIPAA-equivalent considerations, disease classification, explainability",Build a malaria diagnosis assistant that predicts likelihood from symptom data with explainable output,6 hours,Advanced
142,Artificial Intelligence,AI Security: Attacking and Defending AI Systems,Learn how AI systems can be fooled hacked and manipulated — and how to defend against it,You will be able to demonstrate adversarial attacks on an image classifier and implement defences against them,"Adversarial examples, model poisoning, model extraction, membership inference, adversarial training",Demonstrate an adversarial attack on a digit classifier and implement adversarial training as a defence,5 hours,Advanced
143,Artificial Intelligence,Conversational AI Design: Making AI Feel Human,Learn how to design conversations that feel natural helpful and on-brand,You will be able to design complete conversational flows for any AI system including fallbacks and personality,"Conversation design principles, intents and entities, dialogue flow, persona, error messages, handoff",Design the complete conversational flow for a Nigerian bank customer service chatbot,4 hours,Intermediate
144,Artificial Intelligence,AI APIs Mastery: Hugging Face Replicate and More,Learn how to use the major AI API platforms to access thousands of AI models instantly,You will be able to call any AI model from Hugging Face Inference API and Replicate without running local compute,"Hugging Face API, Replicate, API authentication, model selection, cost management, rate limiting",Build 3 different AI-powered features using 3 different models from the Hugging Face Inference API,4 hours,Beginner
145,Artificial Intelligence,Building a Medical Records AI Assistant,Learn how to build an AI that helps healthcare workers search understand and summarise patient records,You will be able to build a system that processes medical documents answers clinical questions and flags urgent cases,"Medical NLP, document processing, LLM for clinical Q&A, privacy considerations, output confidence",Build an AI assistant that answers questions about patient records from a local hospital dataset,8 hours,Advanced
146,Artificial Intelligence,AI for Agriculture: Crop Yield Prediction,Learn how AI helps predict crop yields to support farmers and food security planning,You will be able to build a regression model that predicts crop yield from weather soil and farming practice data,"Agricultural datasets, regression modelling, feature importance for farming, geospatial data basics",Build a crop yield predictor for Nigerian maize using weather and soil data from open datasets,5 hours,Intermediate
147,Artificial Intelligence,Building a Document Classification System,Learn how to build an AI that automatically sorts documents into categories,You will be able to build a document classifier that reads any PDF or text and assigns it to the correct category,"Text extraction from PDF, TF-IDF and transformer features, multi-class classification, deployment as API",Build a system that automatically sorts scanned government documents into 10 categories,5 hours,Intermediate
148,Artificial Intelligence,Explainable AI: Making Black Boxes Transparent,Learn how to explain what any AI model is doing so non-technical stakeholders can trust it,You will be able to generate explanations for any model decision using SHAP and LIME,"SHAP values, LIME explanations, feature importance, model cards, communicating AI decisions",Add SHAP explanations to a loan approval model and build a dashboard showing why each decision was made,5 hours,Advanced
149,Artificial Intelligence,AI Project Management: Delivering AI Projects That Work,Learn how to plan estimate and deliver AI projects in a way that meets real business objectives,You will be able to scope define and plan an AI project including data requirements timelines and success metrics,"AI project lifecycle, data requirements, baseline models, success metrics, stakeholder communication, iteration",Write a complete project plan for an AI initiative at a fictional Nigerian company,4 hours,Foundation
150,Artificial Intelligence,Running AI Locally: Ollama and Open Source Models,Learn how to run powerful AI language models on your own computer without internet or API costs,You will be able to run Llama Mistral and other open-source models locally using Ollama and use them in applications,"Ollama setup, model pulling, API interface, system prompts, integrating into Python scripts",Run a large language model completely offline and build a local Q&A application on top of it,4 hours,Beginner
151,Artificial Intelligence,AI for Education: Personalised Learning Systems,Learn how to build AI-powered educational systems that adapt to individual student needs,You will be able to build an adaptive quiz system that adjusts question difficulty based on student performance,"Item response theory basics, adaptive algorithms, knowledge graph, spaced repetition, LLM question generation",Build an adaptive quiz system for WAEC preparation that adapts difficulty per student,8 hours,Advanced
152,Artificial Intelligence,Image Segmentation: AI That Identifies Every Pixel,Learn semantic and instance segmentation to identify regions within images at the pixel level,You will be able to apply image segmentation models to identify and outline specific objects in any image,"Semantic vs instance segmentation, U-Net, Mask R-CNN, SAM Segment Anything Model, use cases",Build a system that segments crop fields from satellite imagery to estimate farmland area,6 hours,Advanced
153,Artificial Intelligence,AI Model Compression: Making AI Run on Low-Power Devices,Learn techniques to make large AI models small enough to run on phones and low-cost hardware,You will be able to quantise prune and distil any AI model so it runs on resource-constrained devices,"Model quantisation, pruning, knowledge distillation, TensorFlow Lite, ONNX, mobile deployment",Compress a ResNet image classifier by 10x and deploy it to an Android phone as a demonstration,5 hours,Advanced
154,Artificial Intelligence,Building a Real-Time Language Translator,Learn how to build an application that translates speech from one Nigerian language to another in near real time,You will be able to combine speech-to-text translation and text-to-speech into a live translation pipeline,"Pipeline architecture, Whisper, NLLB translation, TTS, latency optimisation, language selection UI",Build a real-time speech translator that converts spoken Hausa to spoken Yoruba in under 3 seconds,8 hours,Advanced
155,Artificial Intelligence,AI for Cybersecurity: Detecting Threats Automatically,Learn how AI is used to detect malware network intrusions and phishing attacks automatically,You will be able to build a machine learning model that classifies network traffic as normal or malicious,"Network traffic features, anomaly detection, malware classification, false positive management",Build a network anomaly detection model using a public cybersecurity dataset,5 hours,Advanced
156,Artificial Intelligence,Building a Knowledge Base With AI,Learn how to build a searchable knowledge base that answers questions intelligently using your own content,You will be able to build a RAG-powered knowledge base that gives accurate answers from any collection of documents,"Chunking strategies, embedding models, vector search, re-ranking, answer generation, source citation",Build a knowledge base for Silabs Academy content that tutors can query to get teaching materials,7 hours,Intermediate
157,Artificial Intelligence,AI for Legal Documents: Contract Analysis,Learn how to use AI to review analyse and extract key terms from legal contracts and documents,You will be able to build a tool that reads any contract and extracts parties dates obligations and risk clauses,"Legal NLP, named entity recognition, clause extraction, LLM for contract analysis, disclaimer handling",Build a contract analyser that reads Nigerian agreements and highlights key terms with risk scores,6 hours,Advanced
158,Artificial Intelligence,Multimodal AI: Combining Vision and Language,Learn about AI models that understand both images and text simultaneously like GPT-4 Vision,You will be able to use multimodal models to build applications that answer questions about images,"What multimodal models are, GPT-4 Vision, LLaVA, image captioning, visual Q&A, practical applications",Build a receipt reading system that extracts itemised purchases and totals from photos of receipts,5 hours,Intermediate
159,Artificial Intelligence,AI for Social Media: Content Intelligence,Learn how to use AI to analyse social media content detect trends and generate engaging posts,You will be able to build a social media intelligence tool that monitors sentiment trends and helps create content,"Social media scraping, sentiment at scale, trend detection, AI content generation, performance prediction",Build a social media monitor for a Nigerian brand that summarises daily sentiment and suggests responses,6 hours,Intermediate
160,Artificial Intelligence,Fine-Tuning LLMs: Teaching AI to Know Your Domain,Learn how to fine-tune a large language model on your own data so it becomes an expert in your field,You will be able to fine-tune an open-source LLM on domain-specific data and deploy it as a custom API,"What fine-tuning is, LoRA and QLoRA for efficient fine-tuning, dataset preparation, evaluation, Hugging Face Trainer",Fine-tune a small LLM on Nigerian legal documents and evaluate its performance on domain questions,8 hours,Advanced
161,Artificial Intelligence,Object Detection From Scratch: YOLO Deep Dive,Learn the YOLO architecture the fastest object detection system in the world from first principles,You will be able to train a custom YOLO model to detect any objects in images and video in real time,"YOLO architecture, bounding boxes, anchor boxes, training with custom data, mAP evaluation, real-time detection",Train a custom YOLO model to detect vehicles in Nigerian road footage and count traffic flow,8 hours,Advanced
162,Artificial Intelligence,Agentic AI: Building AI That Takes Actions,Learn how to build AI agents that autonomously use tools browse the web and complete multi-step tasks,You will be able to build an LLM agent that uses tools like web search calculator and file system to complete tasks,"What agents are, tool calling, ReAct framework, LangChain agents, planning and memory, safety",Build an AI agent that researches a topic online writes a report and saves it to a file automatically,7 hours,Advanced
163,Artificial Intelligence,Building a Medical Diagnosis Assistant,Learn how to build an AI assistant that helps patients understand symptoms and guides them to appropriate care,You will be able to build a symptom checker that asks clarifying questions provides relevant information and recommends next steps,"Medical knowledge representation, LLM for clinical guidance, safety guardrails, disclaimer systems",Build a symptom checker chatbot that triages patients to self-care clinic or emergency,7 hours,Advanced
164,Artificial Intelligence,AI Integration Patterns: Adding AI to Existing Apps,Learn the standard patterns for adding AI capabilities to applications that were not originally built with AI,You will be able to identify the best pattern for adding AI to any existing application and implement it,"AI as a feature vs AI as a core, API integration, background processing, user-facing vs invisible AI",Add 3 different AI features to an existing web application using 3 different integration patterns,5 hours,Intermediate
165,Artificial Intelligence,Responsible Data Collection for AI: Ethics and Practice,Learn how to collect label and manage data ethically especially when dealing with Nigerian users and sensitive data,You will be able to design a data collection process that is ethical legal and produces high-quality training data,"Consent frameworks, data minimisation, anonymisation, NDPC 2023 compliance, bias prevention in collection",Design and document a data collection plan for a Nigerian face recognition dataset,4 hours,Foundation
166,Artificial Intelligence,AI Business Models: Making Money With AI,Learn the business models that successful AI companies use and how to build one in Nigeria,You will be able to identify viable AI business opportunities design a monetisation strategy and pitch it,"AI SaaS, API businesses, data businesses, AI consulting, licensing, market sizing for Nigerian AI",Design a complete business plan for an AI product targeting a specific Nigerian sector,4 hours,Foundation
167,Artificial Intelligence,AI in Agriculture: Pest and Disease Detection,Learn to build AI systems that help farmers identify and manage crop pests and diseases early,You will be able to build a mobile-friendly AI tool that identifies pest infestations from field photos,"Image classification for agriculture, mobile deployment, offline capability, farmer UX",Build a pest detection app for Nigerian farmers that identifies 10 common crop pests from photos,6 hours,Intermediate
168,Artificial Intelligence,Voice Biometrics: Building Speaker Verification Systems,Learn how to build systems that verify a person's identity by their voice for security applications,You will be able to build an enrollment and verification pipeline that authenticates users by voice,"Voiceprint extraction, enrollment workflow, similarity scoring, anti-spoofing, threshold tuning",Build a voice login system that enrolls users by voice and authenticates them on future logins,7 hours,Advanced
169,Artificial Intelligence,AI for E-Government: Automating Public Services,Learn how AI can improve government service delivery and reduce corruption in public administration,You will be able to design an AI system that automates a government process with auditability and transparency,"Process automation, document AI, case management, auditability requirements, citizen-facing AI",Design and prototype an AI system that automatically processes business registration applications,6 hours,Advanced
170,Artificial Intelligence,Predictive Maintenance: AI That Prevents Breakdowns,Learn how AI predicts equipment failure before it happens saving millions in unplanned downtime,You will be able to build a predictive maintenance model from sensor data for any industrial equipment,"Time series from sensors, anomaly detection, remaining useful life prediction, alert thresholds",Build a model that predicts generator failure from vibration and temperature sensor data,5 hours,Advanced
171,Artificial Intelligence,AI Product Development: From Idea to Shipped Feature,Learn the complete process of taking an AI product idea through research design development and launch,You will be able to lead the development of an AI product feature from problem definition to deployed prototype,"Problem scoping, data audit, model selection, UX for AI features, testing AI, launch and monitor",Build and launch a complete AI product feature end-to-end in a real or simulated environment,8 hours,Foundation
172,Artificial Intelligence,Building AI for Low-Bandwidth Environments,Learn how to design AI systems that work reliably on slow or intermittent internet connections,You will be able to build AI applications that degrade gracefully on 2G/3G and work offline when needed,"Offline-first AI, model quantisation for mobile, progressive loading, local inference, sync strategies",Build an AI application that works fully offline and syncs results when internet is available,5 hours,Advanced
173,Artificial Intelligence,AI Pair Programming: Using Copilot and AI to Code Faster,Learn how to use AI coding assistants to write code faster test more thoroughly and learn new technologies,You will be able to use AI coding tools to increase your development speed by at least 3x,"GitHub Copilot, Cursor, Claude for coding, prompt patterns for code generation, AI-assisted debugging",Use AI coding tools to build a project in 1 day that would normally take 3 days,3 hours,Beginner
174,Artificial Intelligence,Building a Real Estate Valuation AI,Learn how to build a property valuation model for Nigerian real estate using machine learning,You will be able to build a model that predicts property prices from location size type and features,"Feature engineering for real estate, geospatial features, regression modelling, confidence intervals",Build a house price estimator for Abuja or Lagos properties with confidence ranges,5 hours,Intermediate
175,Artificial Intelligence,AI for Financial Inclusion: Credit Scoring Without Bank History,Learn how to build alternative credit scoring models that work for the unbanked majority in Nigeria,You will be able to build a credit scoring model using alternative data sources like mobile usage and social signals,"Alternative data sources, feature importance for credit, fairness in lending AI, regulatory considerations",Build a credit scoring model using mobile transaction patterns for unbanked borrowers,6 hours,Advanced
176,Entrepreneurship,Start and Learn: Why Waiting Is the Biggest Mistake,Understand the philosophy of starting before you are ready and learning through doing,You will be able to identify and eliminate the mental blockers preventing you from starting your first business and take the first concrete step,"Action bias vs perfection paralysis, minimum viable action, learning by doing, fear vs risk",Write and take your first 3 concrete business actions within 24 hours of completing this course,2 hours,Foundation
177,Entrepreneurship,CAC Registration Step by Step: Making Your Business Legal,Learn exactly how to register a business in Nigeria including the new online process,You will be able to register a Business Name or Limited Liability Company on the CAC portal correctly,"Business Name vs Limited Company, CAC portal walkthrough, document requirements, costs and timelines",Complete a real or practice CAC registration from start to approved certificate,3 hours,Beginner
178,Entrepreneurship,Your First Business Idea: Finding a Problem Worth Solving,Learn the structured process for identifying real problems that businesses can profitably solve,You will be able to generate 10 validated business ideas based on real problems you have direct knowledge of,"Problem vs solution thinking, market sizing basics, Nigerian market opportunities, idea validation methods",Complete an idea validation exercise for 3 business concepts using the Lean Canvas framework,3 hours,Foundation
179,Entrepreneurship,Lean Canvas: Planning a Business on One Page,Learn the Lean Canvas framework that replaces the traditional 40-page business plan,You will be able to complete a Lean Canvas for any business idea in under 2 hours,"Problem and customer segments, unique value proposition, channels, revenue streams, cost structure",Complete a Lean Canvas for your own business idea with all 9 blocks filled in with evidence,3 hours,Beginner
180,Entrepreneurship,Market Research Without a Budget: Finding Your Customers,Learn how to research a market deeply using free tools and direct conversations,You will be able to define your ideal customer profile identify where they are and validate whether they will pay,"Customer interviews, online surveys, social media research, competitor analysis, market sizing TAM SAM SOM",Conduct 5 customer interviews for a business idea and write a validated customer profile,4 hours,Beginner
181,Entrepreneurship,Pricing Strategy: Charging What Your Product Is Worth,Learn how to price any product or service correctly so you earn profit and customers feel they got value,You will be able to apply 4 pricing strategies and calculate a price for any product with confidence,"Cost-plus pricing, value-based pricing, competitive pricing, freemium, price anchoring, Nigerian market norms",Calculate 3 different prices for the same service using 3 different strategies and justify each,3 hours,Beginner
182,Entrepreneurship,Your First Client: Landing Paid Work When You Are New,Learn the exact strategies to land your first paying client even with zero experience or portfolio,You will be able to land your first paying client within 30 days using the outreach approaches in this course,"Warm outreach, personal network mining, LinkedIn cold messages, WhatsApp business outreach, free first project strategy",Write and send 20 personalised outreach messages in your specific service niche,3 hours,Beginner
183,Entrepreneurship,Freelancing in Tech: Earning in Dollars from Nigeria,Learn how to offer tech skills as freelance services on Upwork Fiverr and Toptal from Nigeria,You will be able to set up optimised profiles on Upwork and Fiverr and land your first $100 foreign contract,"Freelance platform mechanics, profile optimisation, proposal writing, dollar pricing for Nigerian skills",Create a complete Upwork profile with 3 portfolio items and submit 10 quality proposals,5 hours,Beginner
184,Entrepreneurship,Building a Portfolio That Gets You Hired or Contracts,Learn how to build a portfolio that proves your skills better than any certificate or degree,You will be able to build a professional online portfolio that shows your best work with clear project descriptions,"Portfolio site with GitHub Pages, project presentation, case study writing, testimonial collection",Build and publish your portfolio site with at least 5 documented projects,4 hours,Beginner
185,Entrepreneurship,Digital Marketing Foundations: Getting Found Online,Learn the fundamentals of digital marketing that every business owner needs to understand,You will be able to explain all major digital marketing channels choose the right ones for any business and measure results,"SEO, social media marketing, email marketing, paid ads, content marketing, analytics basics",Create a 30-day digital marketing plan for a small Nigerian business,4 hours,Beginner
186,Entrepreneurship,Facebook and Instagram Marketing That Actually Converts,Learn how to use Facebook and Instagram to attract customers and convert them into buyers,You will be able to run organic social media campaigns that generate real leads and sales for any business,"Content strategy, post formats, algorithm understanding, engagement tactics, call-to-action design",Run a 2-week organic social campaign for a real or practice business and track results,5 hours,Beginner
187,Entrepreneurship,WhatsApp Business: Your Most Powerful Sales Tool,Learn how to use WhatsApp Business to manage customers automate responses and close more sales,You will be able to set up WhatsApp Business professionally use broadcast lists and automate common messages,"WhatsApp Business profile, auto-reply, quick replies, broadcast lists, catalogue, payment collection",Set up a complete WhatsApp Business account for a real or practice business,3 hours,Beginner
188,Entrepreneurship,Content Creation for Business: Posts That Make People Buy,Learn how to create content that builds trust generates leads and converts followers into customers,You will be able to produce professional content consistently across text images and short video,"Content pillars, value ladder, writing for social media, Canva design basics, short video scripting",Create a month of content (30 posts) for a specific niche business using a content calendar,6 hours,Beginner
189,Entrepreneurship,Email Marketing: The Channel That Pays the Most,Learn how to build an email list and use it to consistently sell products and services,You will be able to set up an email marketing system build a subscriber list and run automated sequences,"List building, lead magnets, email service providers, open rates and CTR, welcome sequences",Set up a complete email list with a lead magnet and a 5-email welcome sequence,5 hours,Beginner
190,Entrepreneurship,SEO for Nigerian Businesses: Getting Found on Google,Learn search engine optimisation specifically for businesses serving Nigerian audiences,You will be able to rank a local Nigerian business website on the first page of Google for its target keywords,"Keyword research for Nigerian market, on-page SEO, Google My Business, backlinks, local SEO",Optimise a business website for 5 target keywords and set up and verify its Google My Business listing,5 hours,Intermediate
191,Entrepreneurship,Paid Advertising: Running Profitable Facebook Ads,Learn how to run Facebook and Instagram ads that consistently return more money than they cost,You will be able to set up a complete Facebook ad campaign from audience targeting to conversion tracking,"Campaign objectives, audience targeting, ad formats, budget and bidding, pixel installation, retargeting",Run a real or simulated Facebook ad campaign and achieve a profitable return on ad spend,6 hours,Intermediate
192,Entrepreneurship,Building a Landing Page That Converts,Learn how to build a single web page that convinces visitors to buy subscribe or contact you,You will be able to build a high-converting landing page with a compelling headline clear benefits and strong CTA,"Landing page anatomy, copywriting fundamentals, CTA design, social proof, lead capture, A/B testing",Build a complete landing page for a tech service and achieve over 20% conversion rate in testing,4 hours,Beginner
193,Entrepreneurship,Sales Fundamentals: Selling Without Feeling Pushy,Learn the principles of honest effective selling that gets people to say yes,You will be able to conduct a complete sales conversation that addresses objections and closes a deal naturally,"Discovery questions, value articulation, objection handling, closing techniques, follow-up cadence",Role-play 5 complete sales conversations for a tech service covering different objection scenarios,4 hours,Beginner
194,Entrepreneurship,Writing Proposals That Win Contracts,Learn how to write compelling business proposals that convince clients to choose you over competitors,You will be able to write a professional proposal for any service that wins at least 30% of the time,"Proposal structure, problem restatement, solution presentation, pricing justification, social proof, call to action",Write 3 complete proposals for real or practice service opportunities,4 hours,Intermediate
195,Entrepreneurship,Financial Management for Tech Businesses,Learn how to manage money in a tech business so you stay profitable and grow sustainably,You will be able to track revenue expenses and profit run a cash flow forecast and price for profitability,"Revenue and cost tracking, cash flow, invoicing, tax basics in Nigeria, reinvestment decisions",Build a complete financial model for a tech service business for 12 months,4 hours,Beginner
196,Entrepreneurship,Invoicing and Getting Paid: Never Chase a Client Again,Learn how to invoice professionally collect payment on time and handle late payers,You will be able to create professional invoices set clear payment terms and use follow-up systems that get paid,"Invoice design, payment terms, milestone billing, late payment policies, online payment collection",Create an invoice template and a payment collection system for a tech freelance business,2 hours,Beginner
197,Entrepreneurship,Building a Tech Startup: From Idea to First Revenue,Learn the step-by-step process for turning a tech idea into a business that earns money,You will be able to take any tech idea through validation product development and first paying customer in 90 days,"Idea validation, MVP definition, build vs buy decisions, go-to-market strategy, first revenue",Build and launch a minimum viable product for a real tech idea within the course duration,10 hours,Intermediate
198,Entrepreneurship,SaaS Business Models: Recurring Revenue in Tech,Learn how Software as a Service businesses generate consistent monthly revenue and how to build one,You will be able to design a SaaS pricing model build a subscription system and calculate key SaaS metrics,"SaaS vs one-time software, subscription tiers, MRR ARR churn LTV, free trial vs freemium",Design a complete SaaS pricing and monetisation model for a real or practice software idea,4 hours,Intermediate
199,Entrepreneurship,Agency Business Model: Selling Tech Skills at Scale,Learn how to structure a tech agency that delivers client projects profitably and repeatedly,You will be able to set up a tech agency with services pricing hiring workflow and client management,"Service menu design, project scoping and estimation, SOW writing, subcontracting, client management",Create a complete service menu pricing guide and SOW template for a Nigerian tech agency,4 hours,Intermediate
200,Entrepreneurship,Pitching to Investors: Getting Funded in Nigeria,Learn how to pitch a startup to Nigerian and diaspora investors including TEF NITDA and angel networks,You will be able to build a compelling investor pitch deck and deliver a 5-minute pitch confidently,"Pitch deck structure, problem and solution narrative, market sizing, traction slides, the ask",Build a complete 12-slide pitch deck for your own startup and practice delivering it in 5 minutes,5 hours,Intermediate
201,Entrepreneurship,Grant Writing for Tech Startups: Free Money That Exists,Learn how to find and apply for grants specifically available to Nigerian tech startups,You will be able to identify relevant grants complete applications convincingly and track your submissions,"TEF application, Tony Elumelu programme, NITDA, Google.org, World Bank grants, application strategy",Write a complete application for the Tony Elumelu Foundation Entrepreneurship Programme,5 hours,Intermediate
202,Entrepreneurship,Building a Personal Brand as a Tech Professional,Learn how to build a personal brand that makes clients find you instead of you finding them,You will be able to create a consistent personal brand presence that generates inbound opportunities,"Personal brand concept, LinkedIn optimisation, Twitter/X strategy, blogging and thought leadership",Build your complete personal brand across LinkedIn GitHub and one blog platform,5 hours,Beginner
203,Entrepreneurship,LinkedIn for Tech Professionals: The Platform That Gets Jobs and Contracts,Learn how to optimise LinkedIn to attract recruiters investors and clients,You will be able to build a LinkedIn profile that ranks in recruiter searches and actively generates opportunities,"Profile optimisation, keyword strategy, content creation for LinkedIn, connection strategy, DM templates",Build a fully optimised LinkedIn profile and a 30-day posting strategy,4 hours,Beginner
204,Entrepreneurship,Productising Your Service: From Custom Work to Scalable Income,Learn how to turn your custom service work into a standardised product that can be sold repeatedly,You will be able to define package your price and market a standardised service as if it were a product,"Productisation concept, fixed-scope packages, delivery systems, documentation, scaling without more hours",Productise one of your current services into 3 clear packages with fixed prices and deliverables,3 hours,Intermediate
205,Entrepreneurship,Building Passive Income Streams as a Developer,Learn how to build income that continues earning without trading time for money,You will be able to launch at least one passive income stream using your tech skills,"Digital products, course creation, SaaS micro-tools, templates and themes, open-source monetisation",Launch one digital product that earns its first sale without active selling,6 hours,Intermediate
206,Entrepreneurship,Customer Retention: Keeping Clients for Years,Learn how to keep clients coming back and referring others rather than always hunting new business,You will be able to implement a customer success system that increases repeat business by at least 30%,"Onboarding, regular check-ins, delivering more than promised, upselling, referral programmes",Build a complete client retention system for a tech service business,3 hours,Intermediate
